X,Y,OBJECTID,TYPE_BANK,STANDPLAATS,WIJK
189488.552700002,439802.451000001,1,Bank,Speeltuin,Rijkerswoerd
189493.728999998,439789.393399999,2,Bank,Speeltuin,Rijkerswoerd
189493.956900001,439782.274599999,3,Bank,Speeltuin,Rijkerswoerd
189547.627099998,439835.944800001,4,Bank,Speeltuin,Rijkerswoerd
189538.114999998,439835.083900001,5,Bank,Speeltuin,Rijkerswoerd
189529.383900002,439830.648400001,6,Bank,Speeltuin,Rijkerswoerd
189522.032299999,439825.6809,7,Bank,Speeltuin,Rijkerswoerd
189433.060699999,439782.946899999,8,Bank,Park,Rijkerswoerd
189269.325100001,439783.943700001,9,Bank,Speeltuin,Rijkerswoerd
189180.930199999,439581.988200001,10,Bank,Speeltuin,Rijkerswoerd
189452.770199999,439456.140900001,11,Bank,Speeltuin,Rijkerswoerd
189607.3288,439378.6272,12,Bank,Speeltuin,Rijkerswoerd
189510.340700001,439610.384599999,13,Bank,Speeltuin,Rijkerswoerd
189533.596500002,439701.788600001,14,Bank,Bushalte,Rijkerswoerd
189647.1173,439589.058699999,15,Bank,Speeltuin,Rijkerswoerd
189644.447099999,439585.6642,16,Bank,Speeltuin,Rijkerswoerd
189910.0022,439503.6382,17,Bank,Speeltuin,Rijkerswoerd
189924.856199998,439501.9058,18,Bank,Speeltuin,Rijkerswoerd
189908.705200002,439500.8541,19,Bank,Speeltuin,Rijkerswoerd
190022.622900002,439396.866999999,20,Bank,Speeltuin,Rijkerswoerd
190030.851100001,439388.104600001,21,Bank,Speeltuin,Rijkerswoerd
189931.4747,439577.487100001,22,Bank,Speeltuin,Rijkerswoerd
189506.425700001,439247.0988,23,Bank,Speeltuin,Rijkerswoerd
189750.474399999,439746.756900001,24,Bank,Speeltuin,Rijkerswoerd
188880.877300002,439244.483600002,25,Bank,Park,Rijkerswoerd
189009.495499998,439423.153099999,26,Bank,Park,Rijkerswoerd
189161.986499999,439352.468899999,27,Bank,Park,Rijkerswoerd
189775.109499998,439566.0913,28,Bank,Speeltuin,Rijkerswoerd
190234.449099999,439393.306000002,29,Bank,Speeltuin,Rijkerswoerd
190268.202599999,439545.1182,30,Bank,Speeltuin,Rijkerswoerd
190268.505600002,439541.071600001,31,Bank,Speeltuin,Rijkerswoerd
190331.443500001,439331.025400002,32,Bank,Speeltuin,Rijkerswoerd
190335.417599998,439330.555300001,33,Bank,Speeltuin,Rijkerswoerd
190493.332699999,439242.9725,34,Bank,Speeltuin,Rijkerswoerd
189436.171300001,440194.6908,35,Bank,Speeltuin,Rijkerswoerd
189502.3948,440258.309099998,36,Bank,Speeltuin,Rijkerswoerd
189606.546700001,440378.482700001,37,Bank,Speeltuin,Rijkerswoerd
189994.285799999,439964.487399999,38,Bank,Park,Rijkerswoerd
189982.853799999,439970.152399998,39,Bank,Park,Rijkerswoerd
190913.0427,443410.527800001,40,Bank,Overig,Centrum
190913.757100001,443413.200100001,41,Bank,Overig,Centrum
190920.146400001,443434.627,42,Bank,Overig,Centrum
190920.9507,443437.272799999,43,Bank,Overig,Centrum
190971.4703,443471.411600001,44,Bank,Overig,Centrum
190974.089699998,443470.7766,45,Bank,,Centrum
190959.484700002,443399.656399999,46,Bank,Overig,Centrum
190957.147100002,443404.322299998,47,Bank,Overig,Centrum
190957.7927,443407.074000001,48,Bank,Overig,Centrum
190946.7641,443367.5933,49,Bank,Overig,Centrum
190947.8224,443370.556699999,50,Bank,Overig,Centrum
190948.669100001,443373.096700002,51,Bank,Overig,Centrum
190953.590399999,443379.076299999,52,Bank,Overig,Centrum
190906.335700002,443385.892000001,53,Bank,Overig,Centrum
190907.034200002,443388.622499999,54,Bank,Overig,Centrum
190964.182,443439.3675,55,Bank,Overig,Centrum
190964.678100001,443442.443300001,56,Bank,Overig,Centrum
190965.174199998,443445.386799999,57,Bank,Overig,Centrum
190973.2656,443464.449999999,58,Bank,Overig,Centrum
190970.365800001,443464.725200001,59,Bank,Overig,Centrum
187545.923300002,440069.766600002,60,Bank,Speeltuin,De Laar
189072.987199999,441229.867899999,61,Bank,Overig,Elden
189087.949499998,441223.279800002,62,Bank,Overig,Elden
187555.8598,441248.935600001,63,Bank,Speeltuin,Elderveld
190103.807599999,442508.245299999,64,Bank,Trottoir,Malburgen-West
190101.227899998,442508.873599999,65,Bank,Trottoir,Malburgen-West
190051.2216,442521.904399998,66,Bank,Trottoir,Malburgen-West
190048.741099998,442522.5328,67,Bank,Trottoir,Malburgen-West
190013.967700001,442531.171399999,68,Bank,Trottoir,Malburgen-West
190011.3748,442531.8594,69,Bank,Trottoir,Malburgen-West
190375.4366,440697.248300001,70,Bank,Speeltuin,Vredenburg/Kronenburg
190405.214000002,440686.000799999,71,Bijzondere bank,Speeltuin,Vredenburg/Kronenburg
190660.193100002,442138.241500001,72,Bank,Overig,Malburgen-Oost (Zuid)
193486.982799999,444242.3193,73,Bank,Park,Presikhaaf-Oost
193488.983100001,444310.8849,74,Bank,Park,Presikhaaf-Oost
193483.2751,444242.311799999,75,Bank,Park,Presikhaaf-Oost
193468.688099999,444218.052499998,76,Bank,Park,Presikhaaf-Oost
193467.1006,444221.386300001,77,Bank,Park,Presikhaaf-Oost
189199.341800001,445346.813200001,78,Bank,Bushalte,Burgemeesterswijk/Hoogkamp
192470.306699999,446032.6884,79,Bijzondere bank,Park,Monnikenhuizen
189732.796700001,444419.064300001,80,Bank,Speeltuin,Heijenoord/Lombok
189758.100200001,444413.907499999,81,Bank,Trottoir,Heijenoord/Lombok
189756.625700001,444599.489700001,82,Bank,Trottoir,Burgemeesterswijk/Hoogkamp
189557.8191,444462.480700001,83,Bank,Speeltuin,Heijenoord/Lombok
189521.147500001,444410.389600001,84,Bank,Trottoir,Heijenoord/Lombok
189488.700199999,444633.929400001,85,Bank,Speeltuin,Heijenoord/Lombok
189512.583700001,444592.032400001,86,Bank,Overig,Heijenoord/Lombok
189514.262899999,444603.956,87,Bank,Overig,Heijenoord/Lombok
189523.8004,444728.6362,88,Bank,Overig,Burgemeesterswijk/Hoogkamp
189504.039799999,444738.990600001,89,Bank,Overig,Burgemeesterswijk/Hoogkamp
189327.3028,444540.3002,90,Bank,Speeltuin,Heijenoord/Lombok
189206.799199998,444660.716600001,91,Bank,Speeltuin,Klingelbeek e.o.
189207.5145,444662.0352,92,Bank,Speeltuin,Klingelbeek e.o.
188760.2722,444791.953899998,93,Bank,Trottoir,Klingelbeek e.o.
188719.081099998,444910.5548,94,Bank,Bushalte,Klingelbeek e.o.
188712.422699999,444585.981600001,95,Bank,Speeltuin,Heijenoord/Lombok
188982.849800002,444340.2326,96,Bank,Trottoir,Heijenoord/Lombok
188985.741,444344.979400001,97,Bank,Trottoir,Heijenoord/Lombok
189002.085900001,444348.0814,98,Bank,Trottoir,Heijenoord/Lombok
188801.536400001,444155.899599999,99,Bank,Speeltuin,Heijenoord/Lombok
188174.498100001,443685.9945,100,Bank,Overig,Klingelbeek e.o.
188457.3891,443863.342900001,101,Bank,Speeltuin,Klingelbeek e.o.
188465.402100001,443886.0143,102,Bank,Speeltuin,Klingelbeek e.o.
188075.844999999,443912.376699999,103,Bank,Overig,Klingelbeek e.o.
188168.0044,444005.7038,104,Bank,Bushalte,Klingelbeek e.o.
188154.228300001,444025.9822,105,Bank,Bushalte,Klingelbeek e.o.
188898.088500001,444002.928199999,106,Bank,Bushalte,Klingelbeek e.o.
189100.963799998,444195.6369,107,Bank,Speeltuin,Heijenoord/Lombok
189122.094300002,444250.618999999,108,Bank,Overig,Heijenoord/Lombok
189122.233399998,444243.015799999,109,Bank,Overig,Heijenoord/Lombok
189092.706500001,444243.3367,110,Bank,Overig,Heijenoord/Lombok
189092.4298,444250.995999999,111,Bank,Overig,Heijenoord/Lombok
189295.9296,444131.366300002,112,Bank,Bushalte,Centrum
189328.4703,444157.871399999,113,Bank,Bushalte,Heijenoord/Lombok
189357.261399999,444149.984700002,114,Bank,Trottoir,Centrum
189425.424699999,444167.047899999,115,Bank,Overig,Centrum
189422.444600001,444166.342099998,116,Bank,Overig,Centrum
190305.266399998,444344.9518,117,Bank,Speeltuin,Burgemeesterswijk/Hoogkamp
190200.258699998,444487.905200001,118,Bank,Trottoir,Burgemeesterswijk/Hoogkamp
190096.754900001,444537.955699999,119,Bank,Bushalte,Burgemeesterswijk/Hoogkamp
190019.603,444592.593800001,120,Bank,Trottoir,Burgemeesterswijk/Hoogkamp
189876.9364,444683.261599999,121,Bank,Trottoir,Burgemeesterswijk/Hoogkamp
189800.675900001,444707.880199999,122,Bank,Trottoir,Burgemeesterswijk/Hoogkamp
189813.7755,444696.050999999,123,Bank,Trottoir,Burgemeesterswijk/Hoogkamp
189746.617600001,444731.8389,124,Bank,Trottoir,Burgemeesterswijk/Hoogkamp
189598.032299999,444901.633400001,125,Bank,Trottoir,Burgemeesterswijk/Hoogkamp
188543.426100001,445235.1208,126,Bank,Bushalte,Burgemeesterswijk/Hoogkamp
188319.2005,445431.3816,127,Bank,Trottoir,Burgemeesterswijk/Hoogkamp
188319.982299998,445421.1241,128,Bank,Trottoir,Burgemeesterswijk/Hoogkamp
188484.565499999,445439.536200002,129,Bank,Speeltuin,Burgemeesterswijk/Hoogkamp
188899.888799999,445819.947299998,130,Bank,Bushalte,Burgemeesterswijk/Hoogkamp
188624.374200001,446759.760000002,131,Bank,Bushalte,Schaarsbergen
188404.3235,448058.395799998,132,Bank,Bushalte,Schaarsbergen
188915.373500001,445851.548500001,133,Bank,Bushalte,Burgemeesterswijk/Hoogkamp
188790.7313,445417.3935,134,Bank,Speeltuin,Burgemeesterswijk/Hoogkamp
188790.2667,445420.711300001,135,Bank,Speeltuin,Burgemeesterswijk/Hoogkamp
188715.0603,445392.3873,136,Bank,Speeltuin,Burgemeesterswijk/Hoogkamp
188596.737599999,445163.803199999,137,Bank,Bushalte,Klingelbeek e.o.
190710.035799999,444315.052900001,138,Bank,Speeltuin,Burgemeesterswijk/Hoogkamp
190656.2073,444278.333000001,139,Bank,Bushalte,Burgemeesterswijk/Hoogkamp
190950.426899999,444532.456700001,140,Bank,Trottoir,St. Marten/Sonsbeek
190945.5506,444532.0513,141,Bank,Trottoir,St. Marten/Sonsbeek
190944.048799999,444527.875999998,142,Bank,Trottoir,St. Marten/Sonsbeek
190952.4516,444530.201299999,143,Bank,Trottoir,St. Marten/Sonsbeek
190947.275199998,444525.261599999,144,Bank,Trottoir,St. Marten/Sonsbeek
190947.568,444426.657000002,145,Bank,Speeltuin,St. Marten/Sonsbeek
190943.235199999,444433.282299999,146,Bank,Speeltuin,St. Marten/Sonsbeek
190943.235199999,444433.282299999,147,Bank,Speeltuin,St. Marten/Sonsbeek
191035.4804,444735.941,148,Bank,Bushalte,St. Marten/Sonsbeek
191092.919199999,444741.337900002,149,Bank,Bushalte,St. Marten/Sonsbeek
191081.5176,444611.884399999,150,Bank,Trottoir,St. Marten/Sonsbeek
191059.275199998,444679.2489,151,Bank,Trottoir,St. Marten/Sonsbeek
191238.1598,444691.272700001,152,Bank,Speeltuin,St. Marten/Sonsbeek
190997.0163,444974.6899,153,Bank,Speeltuin,St. Marten/Sonsbeek
190994.144400001,444960.248,154,Bank,Speeltuin,St. Marten/Sonsbeek
190931.435699999,445160.9355,155,Bank,Trottoir,Alteveer/Cranevelt
190824.024599999,444877.107500002,156,Bank,Bushalte,St. Marten/Sonsbeek
191080.1831,445472.372200001,157,Bank,Bushalte,Alteveer/Cranevelt
191054.528299998,445465.9606,158,Bank,Bushalte,Alteveer/Cranevelt
191120.217999998,445847.663400002,159,Bank,Trottoir,Alteveer/Cranevelt
191125.8541,446142.772599999,160,Bank,Speeltuin,Alteveer/Cranevelt
191164.1109,446717.904800002,161,Bank,Bushalte,Alteveer/Cranevelt
190991.210700002,446709.045899998,162,Bank,Bushalte,Alteveer/Cranevelt
190973.827799998,446696.8365,163,Bank,Bushalte,Alteveer/Cranevelt
190777.966800001,446687.2874,164,Bank,Bushalte,Alteveer/Cranevelt
191109.5528,446562.814599998,165,Bank,Trottoir,Alteveer/Cranevelt
190954.0381,446314.242400002,166,Picknickbank,Trottoir,Alteveer/Cranevelt
190938.8323,446285.7837,167,Bijzondere bank,Trottoir,Alteveer/Cranevelt
190957.509399999,446316.911499999,168,Picknickbank,Trottoir,Alteveer/Cranevelt
190898.617699999,446291.071699999,169,Bank,Bushalte,Alteveer/Cranevelt
190905.399999999,446312.657600001,170,Bank,Bushalte,Alteveer/Cranevelt
190791.153900001,446429.912799999,171,Bank,Bushalte,Alteveer/Cranevelt
190498.715999998,446572.7038,172,Bank,Trottoir,Alteveer/Cranevelt
190538.292399999,446416.8013,173,Bank,Bushalte,Alteveer/Cranevelt
193516.005899999,443903.471099999,174,Bank,Park,Presikhaaf-Oost
190871.032499999,446233.5097,175,Bank,Speeltuin,Alteveer/Cranevelt
190812.4912,446191.326699998,176,Bijzondere bank,Overig,Alteveer/Cranevelt
190697.5141,446078.986900002,177,Bank,Bushalte,Alteveer/Cranevelt
190645.938099999,446104.199000001,178,Bank,Bushalte,Alteveer/Cranevelt
190519.1347,446073.953000002,179,Bank,Overig,Alteveer/Cranevelt
190250.210000001,446387.3994,180,Bank,Bushalte,Alteveer/Cranevelt
190596.178399999,446129.063299999,181,Bank,Overig,Alteveer/Cranevelt
190612.473499998,446085.4628,182,Bank,Trottoir,Alteveer/Cranevelt
190914.4738,445803.436299998,183,Bank,Bushalte,Alteveer/Cranevelt
190926.558200002,445834.134,184,Bank,Bushalte,Alteveer/Cranevelt
190934.329500001,445836.880800001,185,Bank,Bushalte,Alteveer/Cranevelt
191010.930100001,445850.169300001,186,Bank,Trottoir,Alteveer/Cranevelt
191016.943,445849.956300002,187,Bank,Trottoir,Alteveer/Cranevelt
190524.685400002,444322.021400001,188,Bank,Bushalte,Burgemeesterswijk/Hoogkamp
192933.4716,445681.637200002,189,Bank,Trottoir,Geitenkamp
193358.961199999,446039.316300001,190,Bank,Trottoir,Velperweg e.o.
191879.169599999,444586.324099999,191,Bank,Speeltuin,Klarendal
191865.841499999,444578.193700001,192,Bank,Speeltuin,Klarendal
191832.057100002,444683.265000001,193,Bank,Trottoir,Klarendal
188548.747099999,446281.690400001,194,Bank,Overig,Schaarsbergen
191549.911400001,444131.689100001,195,Bank,Trottoir,Spijkerkwartier
191552.931299999,444132.905999999,196,Bank,Trottoir,Spijkerkwartier
191471.033500001,444107.570700001,197,Bank,Trottoir,Spijkerkwartier
191473.386599999,444108.238899998,198,Bank,Trottoir,Spijkerkwartier
191361.028000001,444074.7337,199,Bank,Trottoir,Spijkerkwartier
191357.2258,444073.5451,200,Bank,Trottoir,Spijkerkwartier
191308.7357,444054.7773,201,Bank,Trottoir,Spijkerkwartier
191304.9397,444052.913699999,202,Bank,Trottoir,Spijkerkwartier
191120.687399998,443987.674400002,203,Bank,Trottoir,Centrum
191119.294799998,443985.538699999,204,Bank,Trottoir,Centrum
191133.974300001,443915.7095,205,Bank,Trottoir,Centrum
192713.221000001,444151.370700002,206,Picknickbank,Park,Presikhaaf-West
192756.010600001,444158.185199998,207,Bank,Park,Presikhaaf-West
192842.1877,444232.642900001,208,Bank,Park,Presikhaaf-West
192944.103500001,444299.672499999,209,Bank,Park,Presikhaaf-West
193035.920000002,444357.278000001,210,Bank,Park,Presikhaaf-West
193118.1754,444428.544500001,211,Bank,Park,Presikhaaf-West
193184.3112,444400.662500001,212,Picknickbank,Park,Presikhaaf-Oost
193128.716699999,444099.5348,213,Bank,Trottoir,Presikhaaf-West
193135.8026,444094.858800001,214,Bank,Trottoir,Presikhaaf-West
193189.1171,444181.5656,215,Picknickbank,Speeltuin,Presikhaaf-West
193199.318799999,443985.458999999,216,Bank,Trottoir,Presikhaaf-West
